;ID WMO;:  96943
04/06/2025;0;
05/06/2025;0,2;
06/06/2025;0;
07/06/2025;0;
08/06/2025;0;
09/06/2025;2,3;
10/06/2025;0;
11/06/2025;9999;
12/06/2025;0;
13/06/2025;0;
14/06/2025;0;
15/06/2025;0;
16/06/2025;5,4;
17/06/2025;9999;
18/06/2025;0;
19/06/2025;0;
20/06/2025;0;
21/06/2025;0;
22/06/2025;0,6;
23/06/2025;3,5;
24/06/2025;24;
25/06/2025;0;
26/06/2025;0;
27/06/2025;0;
28/06/2025;2,4;
29/06/2025;0,8;
30/06/2025;0,5;
01/07/2025;0;
02/07/2025;0;
03/07/2025;0;
04/07/2025;0,2;
05/07/2025;0;
06/07/2025;0;
07/07/2025;2,6;
08/07/2025;0;
09/07/2025;0;
10/07/2025;0;
11/07/2025;0;
12/07/2025;0;
13/07/2025;0;
14/07/2025;0,8;
15/07/2025;0;
16/07/2025;0;
17/07/2025;0;
18/07/2025;0;
19/07/2025;0;
20/07/2025;0;
21/07/2025;0;
22/07/2025;0;
23/07/2025;0;
24/07/2025;0;
25/07/2025;0;
26/07/2025;0;
27/07/2025;0;
28/07/2025;0;
29/07/2025;0,2;
30/07/2025;0;
31/07/2025;0;
01/08/2025;0;
02/08/2025;0;
03/08/2025;0;
04/08/2025;16,6;
05/08/2025;0;
06/08/2025;0;
07/08/2025;0;
08/08/2025;0;
09/08/2025;0;
10/08/2025;0;
11/08/2025;22;
12/08/2025;6,6;
13/08/2025;0;
14/08/2025;0;
15/08/2025;0;
16/08/2025;0;
17/08/2025;0;
18/08/2025;0;
19/08/2025;31,7;
20/08/2025;12;
21/08/2025;22;
22/08/2025;0;
23/08/2025;0;
24/08/2025;0;
25/08/2025;0;
26/08/2025;0;
27/08/2025;0;
28/08/2025;2,2;
29/08/2025;9999;
30/08/2025;9999;
31/08/2025;0;
01/09/2025;0;
02/09/2025;0;
03/09/2025;0;
04/09/2025;0;
05/09/2025;0;
06/09/2025;3;
07/09/2025;0;
08/09/2025;0;
09/09/2025;0;
10/09/2025;12,3;
11/09/2025;4,1;
12/09/2025;0;
13/09/2025;0;
14/09/2025;2,8;
15/09/2025;0;
16/09/2025;0;
17/09/2025;0;
18/09/2025;0;
19/09/2025;1,7;
20/09/2025;5,2;
21/09/2025;0;
22/09/2025;8,1;
23/09/2025;0;
24/09/2025;0;
25/09/2025;7,7;
26/09/2025;0;
27/09/2025;0,5;
28/09/2025;0;
29/09/2025;0;
30/09/2025;32,5;
01/10/2025;9,8;
02/10/2025;0;
03/10/2025;0;
04/10/2025;0;
05/10/2025;0;
06/10/2025;0;
07/10/2025;0;
08/10/2025;21,5;
09/10/2025;0;
10/10/2025;7,1;
11/10/2025;45,4;
12/10/2025;0;
13/10/2025;0;
14/10/2025;0;
15/10/2025;0;
16/10/2025;2,8;
17/10/2025;1;
18/10/2025;0;
19/10/2025;0;
20/10/2025;0;
21/10/2025;0;
22/10/2025;25;
23/10/2025;47,6;
24/10/2025;35,5;
25/10/2025;12;
26/10/2025;6;
27/10/2025;31,6;
28/10/2025;1;
29/10/2025;52;
30/10/2025;15;
31/10/2025;42,9;
01/11/2025;9999;
02/11/2025;9999;
03/11/2025;1,5;
04/11/2025;0,7;
05/11/2025;9999;
06/11/2025;11,7;
07/11/2025;0,6;
08/11/2025;145,6;
09/11/2025;17;
10/11/2025;9999;
11/11/2025;7;
12/11/2025;1,2;
13/11/2025;56,6;
14/11/2025;8,2;
15/11/2025;6,9;
16/11/2025;5,3;
17/11/2025;0,5;
18/11/2025;4,5;
19/11/2025;74,3;
20/11/2025;41,2;
21/11/2025;1,3;
22/11/2025;7;
23/11/2025;7,4;
24/11/2025;40;
25/11/2025;12,5;
26/11/2025;1;
27/11/2025;22,9;
28/11/2025;1,5;
29/11/2025;9999;
30/11/2025;9999;
01/12/2025;9999;
02/12/2025;9999;
03/12/2025;24;
04/12/2025;23,9;
05/12/2025;74,3;
06/12/2025;4,1;
07/12/2025;0,3;
08/12/2025;4;
09/12/2025;2;
10/12/2025;17;
11/12/2025;9,5;
12/12/2025;9,6;
13/12/2025;0,5;
14/12/2025;2,5;
15/12/2025;22,5;
16/12/2025;3,7;
17/12/2025;9999;
18/12/2025;9999;
19/12/2025;16;
20/12/2025;1;
21/12/2025;7,5;
22/12/2025;10,5;
23/12/2025;1,5;
24/12/2025;9999;
25/12/2025;9999;
26/12/2025;9999;
27/12/2025;9999;
28/12/2025;9999;
29/12/2025;9999;
30/12/2025;9999;
31/12/2025;16;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
RR: Curah hujan(mm);;
